"year","month","ppt_6mo","ppt_yr"
1915,5,148.35,349.24
1915,6,67.32,273.55
1915,7,90.43,233.17
1915,8,110.49,269.24
1915,9,125.73,293.12
1915,10,123.44,281.94
1915,11,123.44,271.79
1915,12,123.44,190.76
1916,1,94.23,184.66
1916,2,57.66,168.15
1916,3,38.35,164.08
1916,4,39.62,163.06
1916,5,76.45,199.89
1916,6,76.45,199.89
1916,7,92.96,187.19
1916,8,105.4,163.06
1916,9,103.63,141.98
1916,10,169.15,208.77
1916,11,144.26,220.71
1916,12,149.09,225.54
1917,1,138.18,231.14
1917,2,113.8,219.2
1917,3,95.51,199.14
1917,4,29.23,198.38
1917,5,27.19,171.45
1917,6,23.63,172.72
1917,7,26.15,164.33
1917,8,64.75,178.55
1917,9,71.1,166.61
1917,10,73.38,102.61
1917,11,67.54,94.73
1917,12,66.27,89.9
1918,1,71.61,97.76
1918,2,35.3,100.05
1918,3,28.95,100.05
1918,4,26.16,99.54
1918,5,23.37,90.91
1918,6,25.66,91.93
1918,7,44.71,116.32
1918,8,115.57,150.87
1918,9,115.57,144.52
1918,10,139.95,166.11
1918,11,182.11,205.48
1918,12,196.85,222.51
1919,1,157.99,202.7
1919,2,84.84,200.41
1919,3,122.94,238.51
1919,4,119.64,259.59
1919,5,83.32,265.43
1919,6,69.08,265.93
1919,7,148.58,306.57
1919,8,212.59,297.43
1919,9,239.26,362.2
1919,10,234.44,354.08
1919,11,245.62,328.94
1919,12,255.53,324.61
1920,1,193.56,342.14
1920,2,140.22,352.81
1920,3,84.34,323.6
1920,4,68.84,303.28
1920,5,75.19,320.81
1920,6,101.36,356.89
1920,7,121.94,315.5
1920,8,194.57,334.79
1920,9,208.29,292.63
1920,10,262.4,331.24
1920,11,242.84,318.03
1920,12,203.97,305.33
1921,1,170.18,292.12
1921,2,90.69,285.26
1921,3,74.43,282.72
1921,4,22.61,285.01
1921,5,17.53,260.37
1921,6,42.93,246.9
1921,7,76.71,246.89
1921,8,104.91,195.6
1921,9,117.1,191.53
1921,10,118.11,140.72
1921,11,122.43,139.96
1921,12,102.37,145.3
1922,1,71.89,148.6
1922,2,39.88,144.79
1922,3,22.86,139.96
1922,4,26.42,144.53
1922,5,22.1,144.53
1922,6,19.55,121.92
1922,7,18.28,90.17
1922,8,64.01,103.89
1922,9,91.19,114.05
1922,10,137.16,163.58
1922,11,148.08,170.18
1922,12,150.37,169.92
1923,1,153.67,171.95
1923,2,137.4,201.41
1923,3,128.5,219.69
1923,4,82.28,219.44
1923,5,71.36,219.44
1923,6,82.79,233.16
1923,7,90.41,244.08
1923,8,99.83,237.23
1923,9,124.22,252.72
1923,10,122.19,204.47
1923,11,136.66,208.02
1923,12,158,240.79
1924,1,144.79,235.2
1924,2,108.7,208.53
1924,3,77.46,201.68
1924,4,75.92,198.11
1924,5,66.28,202.94
1924,6,31.22,189.22
1924,7,111.99,256.78
1924,8,117.33,226.03
1924,9,109.71,187.17
1924,10,113.53,189.45
1924,11,112.51,178.79
1924,12,120.39,151.61
1925,1,36.32,148.31
1925,2,35.3,152.63
1925,3,31.24,140.95
1925,4,24.13,137.66
1925,5,42.42,154.93
1925,6,34.55,154.94
1925,7,76.46,112.78
1925,8,99.59,134.89
1925,9,120.93,152.17
1925,10,158.52,182.65
1925,11,136.42,178.84
1925,12,141.49,176.04
1926,1,111.26,187.72
1926,2,82.29,181.88
1926,3,95.24,216.17
1926,4,69.33,227.85
1926,5,131.05,267.47
1926,6,124.7,266.19
1926,7,237.98,349.24
1926,8,246.36,328.65
1926,9,292.09,387.33
1926,10,346.7,416.03
1926,11,286,417.05
1926,12,325.63,450.33
1927,1,200.42,438.4
1927,2,197.12,443.48
1927,3,127.77,419.86
1927,4,60.97,407.67
1927,5,59.95,345.95
1927,6,20.83,346.46
1927,7,58.16,258.58
1927,8,110.76,307.88
1927,9,162.83,290.6
1927,10,163.08,224.05
1927,11,163.08,223.03
1927,12,174.52,195.35
1928,1,136.68,194.84
1928,2,98.56,209.32
1928,3,34.55,197.38
1928,4,36.58,199.66
1928,5,69.86,232.94
1928,6,56.39,230.91
1928,7,88.64,225.32
1928,8,134.35,232.91
1928,9,135.11,169.66
1928,10,196.07,232.65
1928,11,189.47,259.33
1928,12,192.01,248.4
1929,1,159.76,248.4
1929,2,97.03,231.38
1929,3,109.98,245.09
1929,4,46.74,242.81
1929,5,75.69,265.16
1929,6,73.91,265.92
1929,7,123.43,283.19
1929,8,188.96,285.99
1929,9,213.36,323.34
1929,10,242.07,288.81
1929,11,204.73,280.42
1929,12,206.51,280.42
1930,1,162.83,286.26
1930,2,95.26,284.22
1930,3,59.95,273.31
1930,4,32,274.07
1930,5,14.98,219.71
1930,6,24.9,231.41
1930,7,56.14,218.97
1930,8,93.51,188.77
1930,9,91.47,151.42
1930,10,97.56,129.56
1930,11,114.58,129.56
1930,12,120.67,145.57
1931,1,104.67,160.81
1931,2,105.4,198.91
1931,3,104.64,196.11
1931,4,149.11,246.67
1931,5,141.99,256.57
1931,6,128.27,248.94
1931,7,133.85,238.52
1931,8,134.86,240.26
1931,9,185.66,290.3
1931,10,150.34,299.45
1931,11,167.36,309.35
1931,12,182.6,310.87
1932,1,179.31,313.16
1932,2,150.11,284.97
1932,3,107.44,293.1
1932,4,94.23,244.57
1932,5,69.09,236.45
1932,6,55.62,238.22
1932,7,57.41,236.72
1932,8,160.3,310.41
1932,9,215.66,323.1
1932,10,242.08,336.31
1932,11,239.03,308.12
1932,12,268.23,323.85
1933,1,247.89,305.3
1933,2,139.93,300.23
1933,3,77.2,292.86
1933,4,49.52,291.6
1933,5,50.03,289.06
1933,6,86.35,354.58
1933,7,119.14,367.03
1933,8,164.86,304.79
1933,9,190.01,267.21
1933,10,197.38,246.9
1933,11,203.97,254
1933,12,131.85,218.2
1934,1,94.24,213.38
1934,2,45.97,210.83
1934,3,33.27,223.28
1934,4,25.89,223.27
1934,5,50.28,254.25
1934,6,53.33,185.18
1934,7,75.43,169.67
1934,8,91.68,137.65
1934,9,80.25,113.52
1934,10,102.35,128.24
1934,11,77.21,127.49
1934,12,78.22,131.55
1935,1,65.77,141.2
1935,2,50.02,141.7
1935,3,50.27,130.52
1935,4,28.68,131.03
1935,5,39.86,117.07
1935,6,64.24,142.46
1935,7,77.96,143.73
1935,8,173.47,223.49
1935,9,220.46,270.73
1935,10,218.43,247.11
1935,11,225.03,264.89
1935,12,214.62,278.86
1936,1,222.5,300.46
1936,2,126.74,300.21
1936,3,77.72,298.18
1936,4,78.99,297.42
1936,5,61.98,287.01
1936,6,55.12,269.74
1936,7,65.02,287.52
1936,8,90.17,216.91
1936,9,163.57,241.29
1936,10,172.45,251.44
1936,11,186.92,248.9
1936,12,189.97,245.09
1937,1,148.82,213.84
1937,2,140.45,230.62
1937,3,79.5,243.07
1937,4,69.35,241.8
1937,5,69.36,256.28
1937,6,73.18,263.15
1937,7,81.82,230.64
1937,8,83.34,223.79
1937,9,150.4,229.9
1937,10,173.77,243.12
1937,11,152.93,222.29
1937,12,144.79,217.97
1938,1,149.6,231.42
1938,2,141.46,224.8
1938,3,66.27,216.67
1938,4,42.9,216.67
1938,5,43.41,196.34
1938,6,55.86,200.65
1938,7,189.74,339.34
1938,8,176.79,318.25
1938,9,252.73,319
1938,10,258.07,300.97
1938,11,262.13,305.54
1938,12,268.48,324.34
1939,1,157.22,346.96
1939,2,156.21,333
1939,3,82.3,335.03
1939,4,78.99,337.06
1939,5,74.17,336.3
1939,6,51.31,319.79
1939,7,42.67,199.89
1939,8,66.54,222.75
1939,9,114.03,196.33
1939,10,126.74,205.73
1939,11,135.37,209.54
1939,12,158.49,209.8
1940,1,144.78,187.45
1940,2,146.56,213.1
1940,3,94.24,208.27
1940,4,87.12,213.86
1940,5,107.7,243.07
1940,6,113.54,272.03
1940,7,137.66,282.44
1940,8,130.03,276.59
1940,9,187.94,282.18
1940,10,215.88,303
1940,11,203.43,311.13
1940,12,174.72,288.26
1941,1,179.54,317.2
1941,2,182.34,312.37
1941,3,149.58,337.52
1941,4,144.25,360.13
1941,5,146.03,349.46
1941,6,155.44,330.16
1941,7,161.29,340.83
1941,8,193.56,375.9
1941,9,280.95,430.53
1941,10,299.48,443.73
1941,11,293.14,439.17
1941,12,300.25,455.69
1942,1,258.85,420.14
1942,2,216.43,409.99
1942,3,102.37,383.32
1942,4,76.73,376.21
1942,5,64.02,357.16
1942,6,41.41,341.66
1942,7,74.18,333.03
1942,8,115.83,332.26
1942,9,149.36,251.73
1942,10,144.01,220.74
1942,11,144.01,208.03
1942,12,170.17,211.58
1943,1,136.14,210.32
1943,2,83.31,199.14
1943,3,52.06,201.42
1943,4,34.29,178.3
1943,5,37.07,181.08
1943,6,50.53,220.7
1943,7,104.12,240.26
1943,8,118.34,201.65
1943,9,145.78,197.84
1943,10,148.58,182.87
1943,11,177.81,214.88
1943,12,169.69,220.22
1944,1,123.71,227.83
1944,2,127.77,246.11
1944,3,100.59,246.37
1944,4,98.3,246.88
1944,5,71.61,249.42
1944,6,41.63,211.32
1944,7,86.58,210.29
1944,8,96.74,224.51
1944,9,127.22,227.81
1944,10,154.9,253.2
1944,11,185.14,256.75
1944,12,198.6,240.23
1945,1,151.37,237.95
1945,2,124.45,221.19
1945,3,98.03,225.25
1945,4,69.84,224.74
1945,5,34.28,219.42
1945,6,19.3,217.9
1945,7,36.82,188.19
1945,8,59.18,183.63
1945,9,55.12,153.15
1945,10,98.05,167.89
1945,11,98.05,132.33
1945,12,101.86,121.16
1946,1,100.59,137.41
1946,2,76.71,135.89
1946,3,74.68,129.8
1946,4,31.75,129.8
1946,5,38.1,136.15
1946,6,37.84,139.7
1946,7,63.25,163.84
1946,8,139.19,215.9
1946,9,202.18,276.86
1946,10,224.03,255.78
1946,11,229.62,267.72
1946,12,235.21,273.05
1947,1,201.16,264.41
1947,2,126.49,265.68
1947,3,72.14,274.32
1947,4,50.29,274.32
1947,5,46.73,276.35
1947,6,50.54,285.75
1947,7,53.84,255
1947,8,120.9,247.39
1947,9,111.75,183.89
1947,10,115.81,166.1
1947,11,127.75,174.48
1947,12,128.77,179.31
1948,1,117.35,171.19
1948,2,88.14,209.04
1948,3,90.43,202.18
1948,4,89.42,205.23
1948,5,73.68,201.43
1948,6,73.18,201.95
1948,7,76.99,194.34
1948,8,41.93,130.07
1948,9,50.82,141.25
1948,10,69.1,158.52
1948,11,64.52,138.2
1948,12,89.15,162.33
1949,1,114.54,191.53
1949,2,134.36,176.29
1949,3,124.2,175.02
1949,4,107.69,176.79
1949,5,111.24,175.76
1949,6,91.42,180.57
1949,7,117.6,232.14
1949,8,101.34,235.7
1949,9,162.29,286.49
1949,10,189.48,297.17
1949,11,185.93,297.17
1949,12,181.62,273.04
1950,1,116.33,233.93
1950,2,114.55,215.89
1950,3,52.58,214.87
1950,4,20.57,210.05
1950,5,20.57,206.5
1950,6,20.57,202.19
1950,7,88.38,204.71
1950,8,109.22,223.77
1950,9,150.87,203.45
1950,10,197.85,218.42
1950,11,197.85,218.42
1950,12,183.88,204.45
1951,1,122.93,211.31
1951,2,98.54,207.76
1951,3,68.06,218.93
1951,4,36.32,234.17
1951,5,37.59,235.44
1951,6,37.59,221.47
1951,7,38.1,161.03
1951,8,57.41,155.95
1951,9,50.81,118.87
1951,10,66.31,102.63
1951,11,66.31,103.9
1951,12,74.19,111.78
1952,1,66.06,104.16
1952,2,57.41,114.82
1952,3,67.32,118.13
1952,4,46.23,112.54
1952,5,57.15,123.46
1952,6,94.23,168.42
1952,7,133.34,199.4
1952,8,146.03,203.44
1952,9,138.15,205.47
1952,10,128.5,174.73
1952,11,132.83,189.98
1952,12,92.44,186.67
1953,1,53.33,186.67
1953,2,44.46,190.49
1953,3,44.97,183.12
1953,4,52.84,181.34
1953,5,36.32,169.15
1953,6,45.21,137.65
1953,7,65.52,118.85
1953,8,50.53,94.99
1953,9,43.42,88.39
1953,10,46.22,99.06
1953,11,46.22,82.54
1953,12,33.52,78.73
1954,1,14.73,80.25
1954,2,12.95,63.48
1954,3,14.22,57.64
1954,4,3.55,49.77
1954,5,17.78,64
1954,6,17.02,50.54
1954,7,36.33,51.06
1954,8,69.86,82.81
1954,9,123.71,137.93
1954,10,181.12,184.67
1954,11,166.89,184.67
1954,12,168.67,185.69
1955,1,170.7,207.03
1955,2,137.17,207.03
1955,3,91.7,215.41
1955,4,34.29,215.41
1955,5,36.82,203.71
1955,6,38.09,206.76
1955,7,105.16,275.86
1955,8,118.37,255.54
1955,9,111.01,202.71
1955,10,149.87,184.16
1955,11,149.12,185.94
1955,12,146.07,184.16
1956,1,58.68,163.84
1956,2,52.07,170.44
1956,3,49.78,160.79
1956,4,10.92,160.79
1956,5,9.14,158.26
1956,6,9.65,155.72
1956,7,64,122.68
1956,8,74.16,126.23
1956,9,74.16,123.94
1956,10,75.68,86.6
1956,11,75.68,84.82
1956,12,79.74,89.39
1957,1,30.98,94.98
1957,2,27.17,101.33
1957,3,34.53,108.69
1957,4,38.34,114.02
1957,5,41.13,116.81
1957,6,37.07,116.81
1957,7,62.46,93.44
1957,8,170.15,197.32
1957,9,166.6,201.13
1957,10,206.97,245.31
1957,11,223.48,264.61
1957,12,222.97,260.04
1958,1,211.29,273.75
1958,2,101.82,271.97
1958,3,153.13,319.73
1958,4,121.91,328.88
1958,5,113.28,336.76
1958,6,128.52,351.49
1958,7,128.53,339.82
1958,8,164.59,266.41
1958,9,204.96,358.09
1958,10,243.06,364.97
1958,11,235.69,348.97
1958,12,220.45,348.97
1959,1,198.6,327.13
1959,2,154.93,319.52
1959,3,59.44,264.4
1959,4,7.37,250.43
1959,5,4.83,240.52
1959,6,5.34,225.79
1959,7,43.18,241.78
1959,8,201.91,356.84
1959,9,201.91,261.35
1959,10,215.12,222.49
1959,11,214.36,219.19
1959,12,221.22,226.56
1960,1,201.42,244.6
1960,2,40.15,242.06
1960,3,40.91,242.82
1960,4,27.19,242.31
1960,5,27.19,241.55
1960,6,33.03,254.25
1960,7,50.05,251.47
1960,8,86.36,126.51
1960,9,88.65,129.56
1960,10,99.82,127.01
1960,11,102.36,129.55
1960,12,143.51,176.54
1961,1,124.2,174.25
1961,2,86.87,173.23
1961,3,87.12,175.77
1961,4,75.95,175.77
1961,5,73.41,175.77
1961,6,35.8,179.31
1961,7,80.24,204.44
1961,8,167.62,254.49
1961,9,247.37,334.49
1961,10,247.62,323.57
1961,11,286.22,359.63
1961,12,288.52,324.32
1962,1,242.81,323.05
1962,2,165.34,332.96
1962,3,84.83,332.2
1962,4,94.74,342.36
1962,5,56.14,342.36
1962,6,57.41,345.93
1962,7,164.09,406.9
1962,8,220.23,385.57
1962,9,300.49,385.32
1962,10,324.62,419.36
1962,11,330.72,386.86
1962,12,337.32,394.73
1963,1,216.16,380.25
1963,2,161.03,381.26
1963,3,78.23,378.72
1963,4,46.23,370.85
1963,5,40.13,370.85
1963,6,17.78,355.1
1963,7,32.52,248.68
1963,8,63.51,224.54
1963,9,98.81,177.04
1963,10,115.31,161.54
1963,11,124.45,164.58
1963,12,119.88,137.66
1964,1,105.14,137.66
1964,2,66.53,130.04
1964,3,40.12,138.93
1964,4,24.63,139.94
1964,5,31.75,156.2
1964,6,31.75,151.63
1964,7,101.36,206.5
1964,8,152.92,219.45
1964,9,187.72,227.84
1964,10,184.93,209.56
1964,11,168.67,200.42
1964,12,169.43,201.18
1965,1,122.68,224.04
1965,2,78.23,231.15
1965,3,43.94,231.66
1965,4,43.43,228.36
1965,5,44.44,213.11
1965,6,56.38,225.81
1965,7,63.49,186.17
1965,8,59.43,137.66
1965,9,85.08,129.02
1965,10,99.55,142.98
1965,11,98.54,142.98
1965,12,120.4,176.78
1966,1,100.33,163.82
1966,2,100.84,160.27
1966,3,75.44,160.52
1966,4,66.81,166.36
1966,5,68.34,166.88
1966,6,55.88,176.28
1966,7,63.24,163.57
