"project_year","ARIST","ASTRA","BOER4","BOUTE","EVNU","GUSA2","PECTI","SEBA3","UNKG","BAAB","ERIOG","EUPHO","PAHA","POJA5","UNKN","DANA","CYPER","HAPLO11","IPOMO2","UNKF","SPORO","PSTA","PEAM","PLANT","ALIN","KRLA","OENOT","SOEL","NA","SELE6","UNKCA","ZIGR","LESQU","MEMU3","MIRU5","HOFFM","DAPU7","SPHAE","GAILL","CHER2","TECO","MUAR","MUPO2","CRPO5","DECO2","SCBR2","PAOB","ENDE","MELE2","UNKPF","PHHE4","PHAU13","UNKP","SEFL3","CHSO","MACHA","ARTE3","DALA3","PLMU3","FUCYC","AMCH3","CONDA","OPUNT","ACOUR","ACNA2","MUAR2","LEDE23","HYVE","ARTEM","TOWNS","SPAN3","UNKPF1","DELPH","CHAMA15","CHAMA8","GUTIE","CHCO","CESP4","PHEME","ERHI3","COMME","ZIAC","CHCO2","ERLE","SEFLF","TRNE","BELY","UNKPF2","ASMOB","SPCO","UNKPG","ASPA14","BOCU","CYLIN2","CODR2","LOTUS","COER","DICA8","ASSU2","TRAGI"
1949,1,NA,1,1,NA,1,NA,1,1,NA,1,1,1,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,NA,1,1,0,NA,NA,1,1,NA,1,1,1,1,NA,NA,1,1,NA,1,NA,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,0,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,0,NA,NA,1,1,NA,1,1,1,1,1,NA,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,0,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,0,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,1,1,NA,1,NA,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,0,1,NA,1,1,NA,1,NA,1,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,NA,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,1,0,1,NA,1,NA,NA,1,1,1,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,0,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,1,NA,1,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,1,NA,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,1,NA,1,1,NA,1,1,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,0,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,1,NA,1,1,NA,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,0,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,1,NA,1,1,NA,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,1,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,0,1,NA,1,1,NA,NA,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
2001,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,0,1,NA,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,1,1,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,1,1,0,1,NA,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,1,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,NA,1,NA,NA,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,0,1,NA,1,1,NA,NA,1,1,1,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,1,NA,1,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,1,1,NA,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,1,NA,1,1,NA,1,NA,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,0,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,1,NA,1,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,1,NA,1,1,NA,1,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
