"quadrat","cover_2005","cover_2011","cover_2016","mean"
"A1",0.24437299,0.165605096,0.25477707,0.221585052
"A2",0.423566879,0.250793651,0.220447284,0.298269271333333
"A3",0.231012658,0.136363636,0.201923077,0.189766457
"A4",0.362179487,0.217252396,0.215434084,0.264955322333333
"A5",0.338607595,0.196774194,0.279742765,0.271708184666667
"AR1",0.380645161,0.117460317,0.159744409,0.219283295666667
"AR2",0.503184713,0.267741935,0.280645161,0.350523936333333
"AR3",0.323624595,0.21835443,0.143769968,0.228582997666667
"AR4",0.381410256,0.329073482,0.344051447,0.351511728333333
"AR5",0.704180064,0.512820513,0.467741935,0.561580837333333
"AR6",0.695512821,0.457142857,0.420886076,0.524513918
"B1",0,0.12012987,0.183870968,0.101333612666667
"B2",0.063897764,0.073015873,0.131410256,0.0894412976666667
"B2A",0.105769231,0.08974359,0.124203822,0.106572214333333
"B3",0.047468354,0.092063492,0.094936709,0.078156185
"B4",0.100946372,0.14516129,0.167741935,0.137949865666667
"B5",0.308681672,0.28164557,0.261980831,0.284102691
"G1",0.111464968,0.133550489,0.167741935,0.137585797333333
"G2",0.117834395,0.104234528,0.203225806,0.141764909666667
"G3",0.24522293,0.277419355,0.277955272,0.266865852333333
"G4",0.108280255,0.101587302,0.163461538,0.124443031666667
"G5",0.388535032,0.253205128,0.244444444,0.295394868
"G6",0.235483871,0.122580645,0.198717949,0.185594155
"H1",0.003164557,0.012944984,0.060897436,0.0256689923333333
"H2",0.006472492,0.022222222,0.137380192,0.055358302
"H3",0.016129032,0,0.050955414,0.022361482
"I1",0.064308682,0.037974684,0.053968254,0.0520838733333333
"I2",0,0.012698413,0.03525641,0.015984941
"I3",0.003184713,0,0.019230769,0.00747182733333333
"I4",0,0.256410256,0.263492063,0.173300773
"I5",0.21221865,0.111464968,0.173633441,0.165772353
"I6",0.138709677,0.044303797,0.08974359,0.0909190213333333
"I7",0.331189711,0.114649682,0.232484076,0.226107823
"J1",0.248407643,0.038709677,0.218649518,0.168588946
"J12",0.280645161,0.155063291,0.25,0.228569484
"J22",0,0,0.01910828,0.00636942666666667
"J8",0.003205128,0.012820513,0.041935484,0.019320375
"J9",0.003174603,0.006493506,0.032258065,0.0139753913333333
"K1",0.003194888,0.009646302,0.025641026,0.0128274053333333
"K2",0.115015974,0.323624595,0.318327974,0.252322847666667
"K3",0.073717949,0.133757962,0.151898734,0.119791548333333
"K4",0.173076923,0.412337662,0.409677419,0.331697334666667
"L1",0.1,0.058064516,0.03525641,0.0644403086666667
"L2",0.044728435,0.12987013,0.250803859,0.141800808
"L3",0,0.022580645,0,0.00752688166666667
"L3A",0,0.025477707,0.003164557,0.00954742133333333
"L4",0,0,0.003205128,0.001068376
"L5",0.003225806,0.029032258,0.006410256,0.01288944
"M5",0.009677419,0.022435897,0.066878981,0.0329974323333333
"M6",0.041269841,0.067741935,0.14516129,0.0847243553333333
"MG1",0.169871795,0.129032258,0.178343949,0.159082667333333
"MG2",0,0.006410256,0.047770701,0.018060319
"MG3",0.006430868,0,0.037974684,0.0148018506666667
"MG4",0,0.096153846,0.286624204,0.127592683333333
"MG5",0.003194888,0.050632911,0.165605096,0.0731442983333333
"MG6",0.009493671,0.006472492,0.019230769,0.0117323106666667
"MG7",0.006410256,0.006369427,0.006329114,0.006369599
"N1",0,0.00955414,0.038216561,0.015923567
"N3",0,0,0,0
"N3A",0,0,0.009615385,0.00320512833333333
"N4",0.003205128,0.025316456,0.047770701,0.0254307616666667
"N5",0,0.136507937,0.231012658,0.122506865
"N6",0,0.003205128,0.03525641,0.0128205126666667
"P1",0.025477707,0.025806452,0.038709677,0.0299979453333333
"P2",0,0,0,0
"P3",0,0.050955414,0.150159744,0.067038386
"P4",0,0.050632911,0.115755627,0.055462846
"P5",0.012618297,0.278846154,0.365079365,0.218847938666667
"PBR1",0.019230769,0.159235669,0.123417722,0.100628053333333
"PBR2",0.032154341,0.111111111,0.237942122,0.127069191333333
"PBR3",0.393650794,0.307936508,0.299363057,0.333650119666667
"PBR4",0.429936306,0.270096463,0.301587302,0.333873357
"PSG1",0.183544304,0.163987138,0.250803859,0.199445100333333
"PSG10",0.08974359,0.067307692,0.135483871,0.0975117176666667
"PSG11",0.003215434,0.06984127,0.132911392,0.068656032
"PSG12",0.025806452,0.051612903,0.121794872,0.0664047423333333
"PSG13",0.098726115,0.093548387,0.160771704,0.117682068666667
"PSG14",0.047770701,0.051948052,0.112179487,0.0706327466666667
"PSG2",0.048543689,0.105095541,0.169871795,0.107837008333333
"PSG3",0.074193548,0.111464968,0.165605096,0.117087870666667
"PSG4",0.098726115,0.090909091,0.176848875,0.122161360333333
"PSG5",0.009615385,0.022435897,0.063492063,0.0318477816666667
"PSG6",0.095238095,0.121794872,0.176282051,0.131105006
"PSG7",0.262658228,0.215873016,0.278481013,0.252337419
"PSG8",0.174603175,0.140127389,0.176282051,0.163670871666667
"PSG9",0.115384615,0.177777778,0.277070064,0.190077485666667
"R1",0,0.006472492,0.038585209,0.0150192336666667
"R2",0,0.012698413,0.015822785,0.009507066
"R3",0,0.003246753,0.022508039,0.00858493066666667
"R4",0.006430868,0.009615385,0.050793651,0.022279968
"S1",0.006349206,0.171428571,0.115015974,0.097597917
"S2",0.038461538,0.276190476,0.184126984,0.166259666
"S3",0.051282051,0.025477707,0.151419558,0.076059772
"S4",0.054140127,0.035714286,0.125401929,0.071752114
"S5",0.003154574,0.051612903,0.115384615,0.056717364
"S6",0.003174603,0.067741935,0.060702875,0.0438731376666667
"T1",0.079617834,0.00955414,0.019169329,0.0361137676666667
"T10",0.003184713,0.012698413,0.041401274,0.0190948
"T11",0,0,0.003205128,0.001068376
"T2",0.051446945,0.009615385,0.025396825,0.0288197183333333
"T3",0,0.003184713,0,0.001061571
"T4",0,0.006410256,0.047619048,0.018009768
"T5",0,0,0.018987342,0.006329114
"T6",0,0,0.025723473,0.008574491
"T7",0.031545741,0,0.006410256,0.012651999
"T8",0,0,0.003205128,0.001068376
"T9",0,0,0.003194888,0.00106496266666667
"U1",0.057877814,0.146496815,0.171428571,0.125267733333333
"U2",0.101265823,0.096463023,0.218649518,0.138792788
"U3",0.198717949,0.152597403,0.180645161,0.177320171
"U4",0.003205128,0.03164557,0.085443038,0.040097912
"U5",0,0.02866242,0.053797468,0.0274866293333333
"V1",0,0.25,0.187096774,0.145698924666667
"V2",0,0.032154341,0.105095541,0.0457499606666667
"V3",0.006369427,0.166666667,0.150641026,0.107892373333333
"V4",0.003184713,0.327922078,0.282051282,0.204386024333333
"V5",0.009677419,0.117088608,0.085987261,0.0709177626666667
"V6",0,0.162337662,0.128205128,0.0968475966666667
"Y1",0.003205128,0.016025641,0.019354839,0.0128618693333333
"Y2",0.003225806,0.012738854,0.003164557,0.00637640566666667
"Y3",0.006410256,0.012698413,0.003174603,0.00742775733333333
"Y7",0.047770701,0,0.006451613,0.0180741046666667
